"","yearCE","month","lat","VSSI","HemiAssym","Duration"
"1",1892,1,5,4.44,1.28,0
"2",1886,1,-38,1.04,-1,0
"3",1884,1,-6,9.09,1.92,0
"4",1876,1,-37,0.28,-1,0
"5",1863,1,0,5.74,2.99,0
"6",1861,1,-37,0.24,-1,0
"7",1855,1,42,2.26,-1,0
"8",1844,1,48,1.45,-1,0
"9",1835,1,13,5.6,1.34,0
"10",1831,1,20,17.75,9.86,0
"11",1822,1,5,1.22,-1,0
"12",1815,1,-8,36.95,0.74,0
"13",1809,1,5,17.05,1.24,0
"14",1795,1,48,1.06,-1,0
"15",1783,1,64,11.07,-1,0
"16",1767,1,64,2.63,-1,0
"17",1762,1,5,5.45,1.87,0
"18",1754,1,64,1.74,-1,0
"19",1739,1,43,3.81,-1,0
"20",1729,1,48,4.27,-1,0
"21",1719,1,64,1.02,-1,0
"22",1702,1,48,1.15,-1,0
"23",1694,1,5,18.07,1.25,0
"24",1673,1,2,5.78,1.47,0
"25",1666,1,43,4.03,-1,0
"26",1661,1,5,4.62,2.78,0
"27",1646,1,48,1.68,-1,0
"28",1641,1,6,22.05,5.96,0
"29",1634,1,48,1.87,-1,0
"30",1621,1,-37,1.8,-1,0
"31",1600,1,-17,16.94,1.63,0
"32",1594,1,5,9.62,0.83,0
"33",1591,1,-37,0.43,-1,0
"34",1586,1,20,10.9,19.41,0
"35",1577,1,-37,0.25,-1,0
"36",1568,1,48,2.13,-1,0
"37",1559,1,-37,0.22,-1,0
"38",1555,1,-37,0.23,-1,0
"39",1540,1,5,2.42,1.5,0
"40",1527,1,48,0.95,-1,0
"41",1512,1,64,2.99,3.05,0
"42",1505,1,-37,0.82,-1,0
"43",1495,1,48,1.02,-1,0
"44",1490,1,-37,0.83,-1,0
"45",1480,1,48,4.27,-1,0
"46",1477,1,-37,2.02,-1,0
"47",1477,1,65,5.38,-1,0
"48",1470,1,48,1.74,-1,0
"49",1458,1,-17,37.49,0.83,0
"50",1453,1,5,10.77,3.3,0
"51",1447,1,-37,0.44,-1,0
"52",1428,1,48,0.65,-1,0
"53",1418,1,48,0.98,-1,0
"54",1414,1,-37,0.4,-1,0
"55",1390,1,-37,0.56,-1,0
"56",1385,1,5,2.67,5.35,0
"57",1381,1,-37,0.25,-1,0
"58",1378,1,5,2.72,1.92,0
"59",1344,1,5,14.32,1.32,0
"60",1342,1,48,1.8,-1,0
"61",1336,1,-37,0.29,-1,0
"62",1330,1,5,9.61,12.79,0
"63",1290,1,-37,1.34,-1,0
"64",1284,1,5,14.42,1.06,0
"65",1276,1,5,10.67,0.35,0
"66",1269,1,5,6.54,-1,0
"67",1265,1,48,1.04,-1,0
"68",1258,1,-8,75.31,2.21,0
"69",1241,1,-37,0.58,-1,0
"70",1234,1,-37,0.21,-1,0
"71",1229,1,5,30.4,2.06,0
"72",1227,1,-37,0.24,-1,0
"73",1214,1,48,0.97,-1,0
"74",1209,1,48,4.28,-1,0
"75",1205,1,48,1,-1,0
"76",1199,1,48,5.26,-1,0
"77",1191,1,5,8.29,0.85,0
"78",1188,1,-37,1.05,-1,0
"79",1181,1,48,11.9,-1,0
"80",1181,1,-37,0.46,-1,0
"81",1171,1,5,18.92,1.19,0
"82",1152,1,-37,0.19,-1,0
"83",1146,1,48,1.04,-1,0
"84",1126,1,5,2.56,2.56,0
"85",1115,1,48,1.19,-1,0
"86",1112,1,-37,0.83,-1,0
"87",1109,1,5,19.18,6.31,0
"88",1091,1,-37,0.34,-1,0
"89",1081,1,-37,0.49,-1,0
"90",1065,1,48,0.74,-1,0
"91",1044,1,-37,0.16,-1,0
"92",1038,1,-37,1.87,-1,0
"93",1029,1,5,8.03,4.71,0
"94",1022,1,48,1.59,-1,0
"95",1015,1,-37,0.38,-1,0
"96",1008,1,5,3.95,9.99,0
"97",1006,1,5,1.65,2.31,0
"98",1004,1,64,0.16,-1,24
"99",1002,1,64,0.16,-1,24
"100",1001,1,5,2.47,2.34,0
"101",998,1,64,0.21,-1,24
"102",980,1,48,0.95,-1,0
"103",975,1,-37,1.55,-1,0
"104",960,1,-37,1.01,-1,0
"105",939,1,64,16.21,-1,0
"106",937,1,-37,1.22,-1,0
"107",929,1,-37,0.81,-1,0
"108",927,1,-37,0.2,-1,0
"109",917,1,-37,1.49,-1,0
"110",915,1,5,4.83,4.85,0
"111",905,1,-37,0.21,-1,0
"112",900,1,5,13.52,6.58,0
"113",874,1,65,3.01,-1,0
"114",860,1,-37,1.2,-1,0
"115",856,1,-37,1.26,-1,0
"116",852,1,-37,0.56,-1,0
"117",850,1,48,7.55,-1,0
"118",846,1,48,1.17,-1,0
"119",826,1,64,0.27,-1,24
"120",824,1,64,0.43,-1,24
"121",822,1,64,0.32,-1,24
"122",819,1,5,7.79,5.39,0
"123",818,1,64,0.64,-1,24
"124",816,1,64,0.44,-1,24
"125",803,1,48,1.65,-1,0
"126",800,1,-37,0.27,-1,0
"127",798,1,48,2.23,-1,0
"128",795,1,-37,0.53,-1,0
"129",790,1,-37,0.23,-1,0
"130",782,1,-37,4.25,-1,0
"131",764,1,48,2.06,-1,0
"132",760,1,64,0.5,-1,24
"133",758,1,64,0.21,-1,24
"134",756,1,64,0.14,-1,24
"135",754,1,5,2.19,5.53,0
"136",752,1,64,0.19,-1,24
"137",750,1,64,0.45,-1,24
"138",748,1,5,5.66,1.48,0
"139",746,1,64,0.13,-1,24
"140",744,1,-37,1.05,-1,0
"141",725,1,-37,0.57,-1,0
"142",719,1,-37,1.35,-1,0
"143",714,1,-37,0.56,-1,0
"144",712,1,-37,0.51,-1,0
"145",697,1,5,3.47,0.97,0
"146",694,1,48,2.14,-1,0
"147",688,1,5,10.42,7.69,0
"148",685,1,-37,3.77,-1,0
"149",682,1,5,23.24,1.49,0
"150",643,1,-37,0.5,-1,0
"151",632,1,48,2.72,-1,0
"152",629,1,-37,0.3,-1,0
"153",627,1,48,13.5,-1,0
"154",608,1,-37,0.81,-1,0
"155",588,1,5,4.72,1.03,0
"156",575,1,5,26.28,0.94,0
"157",540,1,5,28.82,2.42,0
"158",536,1,48,20.54,19.07,0
"159",528,1,-37,0.32,-1,0
"160",526,1,5,3.83,7.63,0
"161",502,1,48,3.74,-1,0
"162",494,1,-37,0.8,-1,0
"163",487,1,-37,1.25,-1,0
"164",470,1,48,3.59,-1,0
"165",466,1,-37,0.55,-1,0
"166",460,1,-37,1.29,-1,0
"167",446,1,-37,0.24,-1,0
"168",434,1,5,10.91,0.65,0
"169",426,1,48,3.98,-1,0
"170",412,1,48,1.87,-1,0
"171",394,1,-37,0.34,-1,0
"172",382,1,-37,0.27,-1,0
"173",379,1,-37,0.31,-1,0
"174",366,1,-37,0.58,-1,0
"175",360,1,-37,1.08,-1,0
"176",353,1,-37,0.42,-1,0
"177",345,1,-37,0.78,-1,0
"178",332,1,5,4.62,0.91,0
"179",320,1,48,2.02,-1,0
"180",311,1,48,1.05,-1,0
"181",307,1,-37,1.25,-1,0
"182",304,1,5,8.54,0.67,0
"183",299,1,5,3.39,2.01,0
"184",291,1,-37,0.42,-1,0
"185",283,1,-37,0.28,-1,0
"186",279,1,48,6.9,-1,0
"187",266,1,5,23.38,6.44,0
"188",263,1,5,3.43,2.66,0
"189",236,1,5,12.14,0.93,0
"190",229,1,48,1.22,-1,0
"191",218,1,5,3.48,3.35,0
"192",215,1,-37,0.88,-1,0
"193",206,1,-37,2.23,-1,0
"194",203,1,-37,0.8,-1,0
"195",201,1,-37,0.32,-1,0
"196",191,1,48,1.88,-1,0
"197",187,1,48,1.92,-1,0
"198",174,1,48,1.22,-1,0
"199",169,1,5,12.41,1.34,0
"200",164,1,-37,1.16,-1,0
"201",161,1,48,4.1,-1,0
"202",150,1,-37,0.57,-1,0
"203",143,1,-37,1.87,-1,0
"204",138,1,-37,0.21,-1,0
"205",124,1,5,7.39,0.69,0
"206",121,1,-37,1.38,-1,0
"207",105,1,-37,0.28,-1,0
"208",95,1,5,2.23,2.57,0
"209",88,1,64,8.92,-1,0
"210",83,1,-37,0.22,-1,0
"211",79,1,48,2.37,-1,0
"212",77,1,-37,0.45,-1,0
"213",70,1,-37,0.66,-1,0
"214",61,1,48,2.48,-1,0
"215",58,1,-37,1.18,-1,0
"216",54,1,-37,0.87,-1,0
"217",46,1,48,6.47,-1,0
"218",31,1,-37,0.85,-1,0
"219",15,1,-37,0.46,-1,0
"220",4,1,-37,0.26,-1,0
"221",-10,1,5,6.17,0.92,0
"222",-22,1,-37,2.03,-1,0
"223",-34,1,-37,0.2,-1,0
"224",-39,1,48,2.73,-1,0
"225",-49,1,5,56.02,11.19,0
"226",-70,1,48,1.17,-1,0
"227",-74,1,-37,0.21,-1,0
"228",-79,1,48,1.09,-1,0
"229",-83,1,48,1.01,-1,0
"230",-86,1,-37,0.87,-1,0
"231",-92,1,48,7.53,-1,0
"232",-101,1,-37,3.03,-1,0
"233",-107,1,48,1.86,-1,0
"234",-125,1,48,2.64,-1,0
"235",-128,1,5,3.62,0.96,0
"236",-134,1,-37,0.22,-1,0
"237",-140,1,5,22.14,25.32,0
"238",-145,1,5,14.95,39.32,0
"239",-151,1,5,3.54,1.38,0
"240",-159,1,64,0.53,-1,24
"241",-161,1,64,0.67,-1,24
"242",-164,1,64,0.32,-1,36
"243",-166,1,64,0.77,-1,24
"244",-170,1,64,0.97,-1,48
"245",-173,1,5,18.46,3.93,0
"246",-214,1,5,6.78,0.76,0
"247",-222,1,48,3.66,-1,0
"248",-229,1,-37,0.25,-1,0
"249",-232,1,-37,0.2,-1,0
"250",-236,1,-37,0.44,-1,0
"251",-250,1,5,17.9,3.39,0
"252",-252,1,-37,0.55,-1,0
"253",-260,1,48,2.42,-1,0
"254",-285,1,48,3.8,-1,0
"255",-294,1,48,3.15,-1,0
"256",-303,1,48,2.46,-1,0
"257",-328,1,48,1.17,-1,0
"258",-334,1,5,4.64,3.71,0
"259",-341,1,-37,1.2,-1,0
"260",-344,1,-37,0.22,-1,0
"261",-348,1,-37,0.99,-1,0
"262",-351,1,5,6.56,5.04,0
"263",-354,1,48,5.24,-1,0
"264",-360,1,-37,0.81,-1,0
"265",-378,1,-37,0.33,-1,0
"266",-387,1,-37,0.41,-1,0
"267",-394,1,5,15.77,3.11,0
"268",-397,1,5,9.94,23.95,0
"269",-407,1,-37,0.22,-1,0
"270",-412,1,48,1.22,-1,0
"271",-429,1,5,63.58,1.1,0
"272",-436,1,-37,0.45,-1,0
"273",-448,1,48,2.02,-1,0
"274",-462,1,48,3.26,-1,0
"275",-468,1,-37,1.07,-1,0
"276",-471,1,-37,0.86,-1,0
"277",-479,1,48,6.35,-1,0
"278",-483,1,5,5.35,0.86,0
"279",-489,1,48,4.14,-1,0
"280",-494,1,-37,0.91,-1,0
"281",-504,1,48,1.31,-1,0
"282",-517,1,48,1.95,-1,0
"283",-524,1,-37,1.57,-1,0
"284",-531,1,-37,1.08,-1,0
"285",-534,1,48,2.17,-1,0
"286",-542,1,-37,0.19,-1,0
"287",-572,1,5,23.68,24.94,0
"288",-583,1,5,8.67,0.58,0
"289",-590,1,48,1.46,-1,0
"290",-599,1,48,6.81,-1,0
"291",-606,1,48,8.76,-1,0
"292",-614,1,5,2.55,7.66,0
"293",-617,1,-37,0.22,-1,0
"294",-629,1,48,5.11,-1,0
"295",-649,1,5,19.44,4.36,0
"296",-655,1,-37,0.21,-1,0
"297",-661,1,48,7.73,-1,0
"298",-676,1,5,7.11,21.32,0
"299",-706,1,5,7.87,3.34,0
"300",-710,1,48,1.86,-1,0
"301",-715,1,48,4.12,-1,0
"302",-724,1,5,22.59,4.22,0
"303",-730,1,-37,0.51,-1,0
"304",-733,1,-37,0.17,-1,0
"305",-743,1,-37,0.19,-1,0
"306",-751,1,-37,0.47,-1,0
"307",-756,1,64,0.16,-1,24
"308",-758,1,64,0.26,-1,24
"309",-761,1,64,0.57,-1,36
"310",-763,1,64,0.29,-1,24
"311",-765,1,64,0.19,-1,24
"312",-771,1,5,3.23,2.44,0
"313",-780,1,-37,0.19,-1,0
"314",-786,1,48,3.85,-1,0
"315",-791,1,-37,0.37,-1,0
"316",-802,1,48,1.22,-1,0
"317",-811,1,5,2.58,2.81,0
"318",-835,1,48,4.6,-1,0
"319",-848,1,48,8.37,-1,0
"320",-864,1,-37,0.51,-1,0
"321",-893,1,48,2.31,-1,0
"322",-905,1,-37,0.18,-1,0
"323",-911,1,48,2.08,-1,0
"324",-922,1,5,2.61,2.33,0
"325",-946,1,48,3.2,-1,0
"326",-958,1,-37,0.19,-1,0
"327",-964,1,48,0.98,-1,0
"328",-977,1,5,4.35,2.63,0
"329",-985,1,-37,0.44,-1,0
"330",-989,1,5,2.98,4.08,0
"331",-1001,1,5,7.7,1.82,0
"332",-1014,1,48,2.79,-1,0
"333",-1018,1,-37,0.19,-1,0
"334",-1021,1,48,3.22,-1,0
"335",-1036,1,5,22.58,29.24,0
"336",-1041,1,-37,0.68,-1,0
"337",-1079,1,-37,0.22,-1,0
"338",-1085,1,5,2.86,1.6,0
"339",-1091,1,-37,0.88,-1,0
"340",-1098,1,48,1.66,-1,0
"341",-1101,1,-37,1.1,-1,0
"342",-1105,1,48,1.73,-1,0
"343",-1114,1,48,2.93,-1,0
"344",-1129,1,48,1.29,-1,0
"345",-1141,1,48,2.73,-1,0
"346",-1150,1,-37,0.51,-1,0
"347",-1159,1,-37,0.61,-1,0
"348",-1175,1,5,32.83,2.05,0
"349",-1185,1,5,3.91,2.99,0
"350",-1197,1,-37,0.18,-1,0
"351",-1205,1,48,2.51,-1,0
"352",-1211,1,48,1.07,-1,0
"353",-1237,1,48,0.95,-1,0
"354",-1242,1,64,0.92,-1,24
"355",-1249,1,64,0.85,-1,84
"356",-1251,1,64,0.24,-1,24
"357",-1253,1,64,0.25,-1,24
"358",-1255,1,64,0.32,-1,24
"359",-1256,1,5,10.74,3.68,0
"360",-1259,1,5,4.48,12.02,0
"361",-1262,1,64,0.53,-1,24
"362",-1264,1,64,0.43,-1,24
"363",-1289,1,-37,0.65,-1,0
"364",-1299,1,48,4.5,-1,0
"365",-1308,1,48,4.8,-1,0
"366",-1313,1,48,0.87,-1,0
"367",-1320,1,-37,0.21,-1,0
"368",-1325,1,-37,0.36,-1,0
"369",-1339,1,-37,0.35,-1,0
"370",-1350,1,-37,0.88,-1,0
"371",-1364,1,-37,4.75,-1,0
"372",-1368,1,48,1.37,-1,0
"373",-1404,1,-37,0.73,-1,0
"374",-1409,1,5,18.86,2.42,0
"375",-1411,1,-37,0.21,-1,0
